opponent,innings,runs,balls_faced,fours,sixes,outs,average,strike_rate
Chennai Super Kings,32,1053,834,76,42,28,37.61,126.26
Kolkata Knight Riders,31,962,728,84,28,25,38.48,132.14
Mumbai Indians,32,860,676,71,32,27,31.85,127.22
Sunrisers Hyderabad,23,767,544,77,28,21,36.52,140.99
Rajasthan Royals,30,764,636,65,23,24,31.83,120.13
Delhi Daredevils,18,761,544,74,22,11,69.18,139.89
Kings XI Punjab,25,681,526,77,18,23,29.61,129.47
Punjab Kings,7,349,244,31,14,6,58.17,143.03
Gujarat Titans,5,344,239,35,11,3,114.67,143.93
Deccan Chargers,10,306,222,23,14,9,34.0,137.84
Delhi Capitals,10,296,239,22,9,10,29.6,123.85
Gujarat Lions,5,283,183,24,11,4,70.75,154.64
Rising Pune Supergiants,2,188,121,15,9,1,188.0,155.37
Lucknow Super Giants,5,139,115,11,5,5,27.8,120.87
Pune Warriors,5,128,100,9,5,5,25.6,128.0
Rising Pune Supergiant,2,83,67,7,2,2,41.5,123.88
Kochi Tuskers Kerala,2,50,51,7,0,1,50.0,98.04
