season,matches,runs,average,strike_rate,fours,sixes,balls_faced,outs
2008,12,165,15.0,105.1,18,4,157,11
2009,13,246,22.36,112.33,22,8,219,11
2010,13,307,27.91,144.81,26,12,212,11
2011,16,557,46.42,121.09,55,16,460,12
2012,15,364,30.33,111.66,33,10,326,12
2013,15,615,47.31,138.2,61,21,445,13
2014,5,105,26.25,116.67,10,3,90,4
2015,16,505,45.91,130.83,35,23,386,11
2016,16,973,81.08,152.03,84,38,640,12
2017,10,308,30.8,122.22,23,11,252,10
2018,14,530,48.18,139.11,52,18,381,11
2019,14,464,33.14,141.46,46,13,328,14
2020,15,471,42.82,122.02,24,11,386,11
2021,15,405,28.93,119.47,43,9,339,14
2022,14,309,25.75,117.94,30,7,262,12
2023,14,639,53.25,139.82,65,16,457,12
